# BINNING-AGE: MIN=-0.01 BINWIDTH=0.02
# GP-LABEL-AGE: Age / Myr
# 1: AGE / Myr	2: probability
5.24	6.86300e-04
5.26	6.85877e-04
5.28	6.85210e-04
5.3	6.84602e-04
5.32	6.84163e-04
5.34	6.83558e-04
5.36	6.82849e-04
5.38	6.82491e-04
5.4	6.81765e-04
5.42	6.81084e-04
5.44	6.80714e-04
5.46	6.79960e-04
5.48	6.79272e-04
5.5	6.78879e-04
5.52	6.78152e-04
5.54	6.77501e-04
5.56	6.77126e-04
5.58	6.76411e-04
5.6	6.75841e-04
5.62	6.75288e-04
5.64	6.74566e-04
5.66	6.74195e-04
5.68	6.73453e-04
5.7	6.72881e-04
5.72	6.72361e-04
5.74	6.71657e-04
5.76	6.71287e-04
5.78	6.70493e-04
5.8	6.70041e-04
5.82	6.69380e-04
5.84	6.68802e-04
5.86	6.68233e-04
5.88	6.67545e-04
5.9	6.67060e-04
5.92	6.66326e-04
5.94	6.65866e-04
5.96	6.65133e-04
5.98	6.64727e-04
6	6.63965e-04
6.02	6.63536e-04
6.04	6.62766e-04
6.06	6.62334e-04
6.08	6.61591e-04
6.1	6.61144e-04
6.12	6.60350e-04
6.14	6.59965e-04
6.16	6.59160e-04
6.18	6.58727e-04
6.2	6.57989e-04
6.22	6.57493e-04
6.24	6.56652e-04
6.26	6.56151e-04
6.28	6.55346e-04
6.3	6.54946e-04
6.32	6.54153e-04
6.34	6.53630e-04
6.36	6.52925e-04
6.38	6.52361e-04
6.4	6.51951e-04
6.42	6.51132e-04
6.44	6.50625e-04
6.46	6.49945e-04
6.48	6.49340e-04
6.5	6.48793e-04
6.52	6.48041e-04
6.54	6.47342e-04
6.56	6.47020e-04
6.58	6.46249e-04
6.6	6.45611e-04
6.62	6.45093e-04
6.64	6.44376e-04
6.66	6.43859e-04
6.68	6.43382e-04
6.7	6.42551e-04
6.72	6.42052e-04
6.74	6.41635e-04
6.76	6.40838e-04
6.78	6.40326e-04
6.8	6.39729e-04
6.82	6.39234e-04
6.84	6.38475e-04
6.86	6.38012e-04
6.88	6.37392e-04
6.9	6.36706e-04
6.92	6.36210e-04
6.94	6.35816e-04
6.96	6.34897e-04
6.98	6.34444e-04
7	6.34039e-04
7.02	6.33127e-04
7.04	6.32641e-04
7.06	6.32235e-04
7.08	6.31374e-04
7.1	6.30853e-04
7.12	6.30365e-04
7.14	6.29877e-04
7.16	6.28976e-04
7.18	6.28493e-04
7.2	6.28076e-04
7.22	6.27207e-04
7.24	6.26693e-04
7.26	6.26191e-04
7.28	6.25838e-04
7.3	6.24897e-04
7.32	6.24365e-04
7.34	6.23929e-04
7.36	6.23129e-04
7.38	6.22444e-04
7.4	6.22005e-04
7.42	6.21656e-04
7.44	6.20704e-04
7.46	6.20102e-04
7.48	6.19748e-04
7.5	6.19396e-04
7.52	6.18271e-04
7.54	6.17777e-04
7.56	6.17437e-04
7.58	6.16428e-04
7.6	6.15902e-04
7.62	6.15466e-04
7.64	6.14959e-04
7.66	6.14095e-04
7.68	6.13554e-04
7.7	6.13001e-04
7.72	6.12604e-04
7.74	6.11664e-04
7.76	6.11085e-04
7.78	6.10549e-04
7.8	6.10103e-04
7.82	6.09200e-04
7.84	6.08596e-04
7.86	6.08103e-04
7.88	6.07676e-04
7.9	6.06966e-04
7.92	6.06047e-04
7.94	6.05628e-04
7.96	6.05280e-04
7.98	6.04774e-04
8	6.03610e-04
8.02	6.03132e-04
8.04	6.02827e-04
8.06	6.02424e-04
8.08	6.01122e-04
8.1	6.00545e-04
8.12	6.00242e-04
8.14	5.99950e-04
8.16	5.99544e-04
8.18	5.98132e-04
8.2	5.97711e-04
8.22	5.97416e-04
8.24	5.97034e-04
8.26	5.96146e-04
8.28	5.95314e-04
8.3	5.95016e-04
8.32	5.94622e-04
8.34	5.94255e-04
8.36	5.93396e-04
8.38	5.92599e-04
8.4	5.92123e-04
8.42	5.91690e-04
8.44	5.91505e-04
8.46	5.90645e-04
8.48	5.89863e-04
8.5	5.89261e-04
8.52	5.88921e-04
8.54	5.88688e-04
8.56	5.88455e-04
8.58	5.86831e-04
8.6	5.86367e-04
8.62	5.86060e-04
8.64	5.85960e-04
8.66	5.85579e-04
8.68	5.84150e-04
8.7	5.83638e-04
8.72	5.83431e-04
8.74	5.82957e-04
8.76	5.82589e-04
