# BINNING-MINI: MIN=-0.1 BINWIDTH=0.2
# GP-LABEL-MINI: M_{ini} / M_{/CMSY10 \014}
# 1: MINI / Msun	2: probability
58.6	3.83697e-05
58.8	3.79070e-05
59	3.74505e-05
59.2	3.70134e-05
59.4	3.65708e-05
59.6	3.61384e-05
59.8	3.57105e-05
60	3.52840e-05
60.2	3.48776e-05
60.4	3.44835e-05
60.6	3.40914e-05
60.8	3.36940e-05
61	3.33153e-05
61.2	3.29346e-05
61.4	3.25681e-05
61.6	3.21896e-05
61.8	3.18288e-05
62	3.14780e-05
62.2	3.11352e-05
62.4	3.07745e-05
62.6	3.04277e-05
62.8	3.00917e-05
63	2.97750e-05
63.2	2.94294e-05
63.4	2.91115e-05
63.6	2.87794e-05
63.8	2.84777e-05
64	2.81567e-05
64.2	2.78596e-05
64.4	2.75570e-05
64.6	2.72604e-05
64.8	2.69471e-05
65	2.66646e-05
65.2	2.63826e-05
65.4	2.61073e-05
65.6	2.58178e-05
65.8	2.50037e-05
66	2.47359e-05
66.2	2.44776e-05
66.4	2.42294e-05
66.6	2.39628e-05
66.8	2.37096e-05
67	2.34625e-05
67.2	2.32224e-05
67.4	2.29763e-05
67.6	2.27304e-05
67.8	2.24967e-05
68	2.22740e-05
68.2	2.20417e-05
68.4	2.18036e-05
68.6	2.15763e-05
68.8	2.13630e-05
69	2.11538e-05
69.2	2.09229e-05
69.4	2.07090e-05
69.6	2.05021e-05
69.8	2.02985e-05
70	1.99265e-05
70.2	1.97356e-05
70.4	1.95401e-05
70.6	1.93349e-05
70.8	1.91413e-05
71	1.89586e-05
71.2	1.87694e-05
71.4	1.85773e-05
71.6	1.83918e-05
71.8	1.82150e-05
72	1.80330e-05
72.2	1.78448e-05
72.4	1.76780e-05
72.6	1.75092e-05
72.8	1.73311e-05
73	1.71627e-05
73.2	1.70001e-05
73.4	1.68425e-05
73.6	1.66604e-05
73.8	1.65098e-05
74	1.63546e-05
74.2	1.62032e-05
74.4	1.60365e-05
74.6	1.58830e-05
74.8	1.57373e-05
75	1.55873e-05
75.2	1.54293e-05
75.4	1.52936e-05
75.6	1.51513e-05
75.8	1.50065e-05
76	1.48508e-05
76.2	1.47190e-05
76.4	1.45896e-05
76.6	1.44540e-05
76.8	1.43094e-05
77	1.41762e-05
77.2	1.40511e-05
77.4	1.39229e-05
77.6	1.37808e-05
77.8	1.36611e-05
78	1.35413e-05
78.2	1.34147e-05
78.4	1.32857e-05
78.6	1.31628e-05
78.8	1.30454e-05
79	1.29349e-05
79.2	1.28143e-05
79.4	1.26924e-05
79.6	1.25761e-05
79.8	1.24679e-05
80	1.23648e-05
80.2	1.22433e-05
80.4	1.21419e-05
80.6	1.20358e-05
80.8	1.19294e-05
81	1.18330e-05
81.2	1.17343e-05
81.4	1.16249e-05
81.6	1.15218e-05
81.8	1.14243e-05
82	1.13288e-05
82.2	1.12333e-05
82.4	1.11297e-05
82.6	1.10362e-05
82.8	1.09428e-05
83	1.08543e-05
83.2	1.07637e-05
83.4	1.06731e-05
83.6	1.05728e-05
83.8	1.04892e-05
84	1.04023e-05
84.2	1.03154e-05
84.4	1.02336e-05
84.6	1.01435e-05
84.8	1.00554e-05
85	9.97263e-06
85.2	9.89227e-06
85.4	9.81350e-06
85.6	9.73015e-06
85.8	9.65019e-06
86	9.56831e-06
86.2	9.49081e-06
86.4	9.41294e-06
86.6	9.33721e-06
86.8	9.25968e-06
87	9.18495e-06
87.2	9.10757e-06
87.4	9.03788e-06
87.6	8.96170e-06
87.8	8.89007e-06
88	8.82071e-06
88.2	8.74704e-06
88.4	8.67945e-06
88.6	8.60601e-06
88.8	8.53979e-06
89	8.47088e-06
89.2	8.40272e-06
89.4	8.33734e-06
89.6	8.27172e-06
89.8	8.20669e-06
90	8.13841e-06
90.2	8.07644e-06
90.4	8.01294e-06
90.6	7.94883e-06
90.8	7.88942e-06
91	7.82589e-06
91.2	7.76666e-06
91.4	7.70009e-06
91.6	7.64256e-06
91.8	7.58413e-06
92	7.52632e-06
92.2	7.46966e-06
92.4	7.41192e-06
92.6	7.35542e-06
92.8	7.29541e-06
93	7.24027e-06
93.2	7.18286e-06
93.4	7.13200e-06
93.6	7.07647e-06
93.8	7.02367e-06
94	6.96988e-06
94.2	6.91484e-06
94.4	6.86306e-06
94.6	6.81242e-06
94.8	6.75955e-06
95	6.70986e-06
95.2	6.66000e-06
95.4	6.60962e-06
95.6	6.55857e-06
95.8	6.50920e-06
96	6.46292e-06
96.2	6.41441e-06
96.4	6.36770e-06
96.6	6.32168e-06
96.8	6.27296e-06
97	6.22351e-06
97.2	6.17803e-06
97.4	6.13290e-06
97.6	6.08946e-06
97.8	6.04732e-06
98	6.00377e-06
98.2	5.95877e-06
98.4	5.91370e-06
98.6	5.86893e-06
98.8	5.82564e-06
99	5.78624e-06
99.2	5.74377e-06
99.4	5.70333e-06
99.6	5.66420e-06
99.8	5.62141e-06
100	5.66468e-06
100.2	5.62424e-06
100.4	5.58640e-06
100.6	5.54957e-06
100.8	5.51150e-06
101	5.47534e-06
101.2	5.43687e-06
101.4	5.40119e-06
101.6	5.36344e-06
101.8	5.32336e-06
102	5.28676e-06
102.2	5.25111e-06
102.4	5.21502e-06
102.6	5.18235e-06
102.8	5.14645e-06
103	5.11316e-06
103.2	5.07870e-06
103.4	5.04404e-06
103.6	5.01286e-06
103.8	4.97835e-06
104	4.94238e-06
104.2	4.90846e-06
104.4	4.87528e-06
104.6	4.84297e-06
104.8	4.81200e-06
105	4.77940e-06
105.2	4.74912e-06
105.4	4.71882e-06
105.6	4.68775e-06
105.8	4.65657e-06
106	4.62826e-06
106.2	4.59490e-06
106.4	4.56311e-06
106.6	4.53318e-06
106.8	4.50306e-06
107	4.47490e-06
107.2	4.44513e-06
107.4	4.41790e-06
107.6	4.38934e-06
107.8	4.36257e-06
108	4.33369e-06
108.2	4.30674e-06
108.4	4.27755e-06
108.6	4.24905e-06
108.8	4.22124e-06
109	4.19356e-06
109.2	4.16627e-06
109.4	4.14018e-06
109.6	4.11361e-06
109.8	4.08771e-06
110	4.06323e-06
110.2	4.03826e-06
110.4	4.01313e-06
110.6	3.98806e-06
110.8	3.96160e-06
111	3.93516e-06
111.2	3.91038e-06
111.4	3.88562e-06
111.6	3.86007e-06
111.8	3.83726e-06
112	3.81208e-06
112.2	3.78956e-06
112.4	3.76664e-06
112.6	3.74317e-06
112.8	3.72116e-06
113	3.69850e-06
113.2	3.67727e-06
113.4	3.65081e-06
113.6	3.62819e-06
113.8	3.60459e-06
114	3.58319e-06
114.2	3.56051e-06
114.4	3.53857e-06
114.6	3.51718e-06
114.8	3.49634e-06
115	3.47612e-06
115.2	3.45543e-06
115.4	3.43473e-06
115.6	3.41404e-06
115.8	3.39246e-06
116	3.37232e-06
116.2	3.34953e-06
116.4	3.32948e-06
116.6	3.30869e-06
116.8	3.28934e-06
117	3.27022e-06
117.2	3.24945e-06
117.4	3.23150e-06
117.6	3.21217e-06
117.8	3.12847e-06
118	3.11037e-06
118.2	3.09225e-06
118.4	3.07267e-06
118.6	3.05165e-06
118.8	3.03377e-06
119	3.01547e-06
119.2	2.99723e-06
119.4	2.98093e-06
119.6	2.96254e-06
119.8	2.94644e-06
120	2.92832e-06
120.2	2.91211e-06
120.4	2.89579e-06
120.6	2.87946e-06
120.8	2.86354e-06
121	2.84628e-06
121.2	2.82662e-06
121.4	2.81074e-06
121.6	2.79356e-06
121.8	2.77753e-06
122	2.76140e-06
122.2	2.74656e-06
122.4	2.73107e-06
122.6	2.71483e-06
122.8	2.70039e-06
123	2.68398e-06
123.2	2.66936e-06
123.4	2.65448e-06
123.6	2.63992e-06
123.8	2.62557e-06
124	2.60757e-06
124.2	2.59242e-06
124.4	2.57818e-06
124.6	2.56287e-06
124.8	2.54881e-06
125	2.53375e-06
125.2	2.52078e-06
125.4	2.50600e-06
125.6	2.49240e-06
125.8	2.48004e-06
126	2.46608e-06
126.2	2.45270e-06
126.4	2.43992e-06
126.6	2.42622e-06
126.8	2.41427e-06
127	2.39899e-06
127.2	2.38476e-06
127.4	2.37230e-06
127.6	2.35970e-06
127.8	2.34715e-06
128	2.33388e-06
128.2	2.32196e-06
128.4	2.31033e-06
128.6	2.29697e-06
128.8	2.28523e-06
129	2.27295e-06
129.2	2.26099e-06
129.4	2.24971e-06
129.6	2.23774e-06
129.8	2.22596e-06
130	2.21446e-06
130.2	2.20156e-06
130.4	2.18924e-06
130.6	2.17729e-06
130.8	2.16592e-06
131	2.15450e-06
131.2	2.14261e-06
131.4	2.13173e-06
131.6	2.12096e-06
131.8	2.11020e-06
132	2.09862e-06
132.2	2.08843e-06
132.4	2.07723e-06
132.6	2.06607e-06
132.8	2.05613e-06
133	2.04591e-06
133.2	2.03561e-06
133.4	2.02534e-06
133.6	2.01345e-06
133.8	2.00234e-06
134	1.99138e-06
134.2	1.98124e-06
134.4	1.97106e-06
134.6	1.96102e-06
134.8	1.95126e-06
135	1.94131e-06
135.2	1.93168e-06
135.4	1.92178e-06
135.6	1.91231e-06
135.8	1.90255e-06
136	1.89293e-06
136.2	1.88386e-06
136.4	1.87449e-06
136.6	1.86479e-06
136.8	1.85590e-06
137	1.84681e-06
137.2	1.83509e-06
137.4	1.82556e-06
137.6	1.81705e-06
137.8	1.80749e-06
138	1.79821e-06
138.2	1.78981e-06
138.4	1.78112e-06
138.6	1.77189e-06
138.8	1.76388e-06
139	1.75455e-06
139.2	1.74581e-06
139.4	1.73677e-06
139.6	1.72875e-06
139.8	1.72064e-06
140	1.71236e-06
140.2	1.70393e-06
140.4	1.69592e-06
140.6	1.68743e-06
140.8	1.67716e-06
141	1.66930e-06
141.2	1.66102e-06
141.4	1.65296e-06
141.6	1.64486e-06
141.8	1.63623e-06
142	1.62902e-06
142.2	1.62042e-06
142.4	1.61334e-06
142.6	1.60495e-06
142.8	1.59738e-06
143	1.58972e-06
143.2	1.58223e-06
143.4	1.57508e-06
143.6	1.56791e-06
143.8	1.56007e-06
144	1.55298e-06
144.2	1.54539e-06
144.4	1.53744e-06
144.6	1.52900e-06
144.8	1.52159e-06
145	1.51396e-06
145.2	1.50670e-06
145.4	1.49928e-06
145.6	1.49249e-06
145.8	1.48553e-06
146	1.47874e-06
146.2	1.47208e-06
146.4	1.46556e-06
146.6	1.45841e-06
146.8	1.45119e-06
147	1.44452e-06
147.2	1.43750e-06
147.4	1.43138e-06
147.6	1.42453e-06
147.8	1.41782e-06
148	1.41126e-06
148.2	1.40503e-06
148.4	1.39688e-06
148.6	1.38980e-06
148.8	1.38379e-06
149	1.37730e-06
149.2	1.37114e-06
149.4	1.36491e-06
149.6	1.35878e-06
149.8	1.35206e-06
150	1.34569e-06
150.2	1.33940e-06
150.4	1.33350e-06
150.6	1.32666e-06
150.8	1.32098e-06
151	1.31507e-06
151.2	1.30971e-06
151.4	1.30381e-06
151.6	1.29823e-06
151.8	1.29232e-06
152	1.28657e-06
152.2	1.28081e-06
152.4	1.27491e-06
152.6	1.26812e-06
152.8	1.26235e-06
153	1.25633e-06
153.2	1.25046e-06
153.4	1.24493e-06
153.6	1.23932e-06
153.8	1.23367e-06
154	1.22828e-06
154.2	1.22271e-06
154.4	1.21763e-06
154.6	1.21253e-06
154.8	1.20682e-06
155	1.20181e-06
155.2	1.19626e-06
155.4	1.19130e-06
155.6	1.18588e-06
155.8	1.18094e-06
156	1.17558e-06
156.2	1.17042e-06
156.4	1.16519e-06
156.6	1.16040e-06
156.8	1.15487e-06
157	1.15005e-06
157.2	1.14409e-06
157.4	1.13888e-06
157.6	1.13383e-06
157.8	1.12921e-06
158	1.12416e-06
158.2	1.11958e-06
158.4	1.11441e-06
158.6	1.10926e-06
158.8	1.10492e-06
159	1.09979e-06
159.2	1.09535e-06
159.4	1.09023e-06
159.6	1.08539e-06
159.8	1.08094e-06
160	1.07677e-06
160.2	1.07218e-06
160.4	1.06759e-06
160.6	1.06257e-06
160.8	1.05790e-06
161	1.05344e-06
161.2	1.04937e-06
161.4	1.04511e-06
161.6	1.04111e-06
