# BINNING-R: MIN=0 BINWIDTH=12.1513117647
# GP-LABEL-R: R / R_{/CMSY10 \014}
# 1: R / Rsun	2: probability
6.07565588235	9.64839e-01
18.22696764705	3.17469e-02
30.37827941175	2.05375e-03
42.52959117645	5.14991e-04
54.68090294115	2.18548e-04
66.83221470585	1.20209e-04
78.98352647055	9.50612e-05
91.13483823525	8.33685e-05
103.28614999995	5.33489e-05
115.43746176465	3.33711e-05
127.58877352935	2.52456e-05
139.74008529405	1.89923e-05
151.89139705875	1.55195e-05
164.04270882345	1.32493e-05
176.19402058815	1.14269e-05
188.34533235285	1.03084e-05
200.49664411755	9.09744e-06
212.64795588225	8.55015e-06
224.79926764695	7.45480e-06
236.95057941165	6.70356e-06
249.10189117635	6.23697e-06
261.25320294105	5.93407e-06
273.40451470575	5.39855e-06
285.55582647045	4.85174e-06
297.70713823515	3.83287e-06
309.85844999985	3.63039e-06
322.00976176455	3.17928e-06
334.16107352925	3.10948e-06
346.31238529395	2.69751e-06
358.46369705865	2.29419e-06
370.61500882335	2.17925e-06
382.76632058805	1.81901e-06
394.91763235275	1.78899e-06
407.06894411745	1.67817e-06
419.22025588215	1.50909e-06
431.37156764685	1.48559e-06
443.52287941155	1.42501e-06
455.67419117625	1.39431e-06
467.82550294095	1.23025e-06
479.97681470565	1.22637e-06
492.12812647035	1.21957e-06
504.27943823505	1.23355e-06
516.43074999975	1.05695e-06
528.58206176445	1.01112e-06
540.73337352915	1.05210e-06
552.88468529385	9.30244e-07
565.03599705855	9.82557e-07
577.18730882325	9.49862e-07
589.33862058795	9.45010e-07
601.48993235265	8.02896e-07
613.64124411735	7.77081e-07
625.79255588205	9.20161e-07
637.94386764675	7.69573e-07
650.09517941145	7.62886e-07
662.24649117615	8.56108e-07
674.39780294085	6.73560e-07
686.54911470555	7.69522e-07
698.70042647025	7.68057e-07
710.85173823495	7.70390e-07
723.00304999965	6.28695e-07
735.15436176435	7.00204e-07
747.30567352905	6.72423e-07
759.45698529375	6.19495e-07
771.60829705845	6.16689e-07
783.75960882315	5.60904e-07
795.91092058785	5.81480e-07
808.06223235255	5.78416e-07
820.21354411725	6.05301e-07
832.36485588195	6.40367e-07
844.51616764665	5.77176e-07
856.66747941135	5.62750e-07
868.81879117605	5.14612e-07
880.97010294075	4.83208e-07
893.12141470545	5.82088e-07
905.27272647015	5.20623e-07
917.42403823485	5.34182e-07
929.57534999955	4.78488e-07
941.72666176425	4.85006e-07
953.87797352895	4.86198e-07
966.02928529365	4.88493e-07
978.18059705835	4.86148e-07
990.33190882305	5.06839e-07
1002.48322058775	4.43477e-07
1014.63453235245	4.48366e-07
1026.78584411715	5.44877e-07
1038.93715588185	4.36536e-07
1051.08846764655	4.28738e-07
1063.23977941125	5.47887e-07
1075.39109117595	4.78981e-07
1087.54240294065	3.85693e-07
1099.69371470535	4.38239e-07
1111.84502647005	4.14741e-07
1123.99633823475	4.29697e-07
1136.14764999945	4.93365e-07
1148.29896176415	4.00612e-07
1160.45027352885	4.12201e-07
1172.60158529355	3.40687e-07
1184.75289705825	3.77775e-07
1196.90420882295	4.37588e-07
1209.05552058765	4.17634e-07
1221.20683235235	4.08610e-07
1233.35814411705	3.98196e-07
1245.50945588175	3.99365e-07
1257.66076764645	4.09071e-07
1269.81207941115	3.75112e-07
1281.96339117585	3.88839e-07
1294.11470294055	3.43529e-07
1306.26601470525	3.38005e-07
1318.41732646995	3.20571e-07
1330.56863823465	3.57572e-07
1342.71994999935	3.94527e-07
1354.87126176405	3.22907e-07
1367.02257352875	3.63101e-07
1379.17388529345	3.31396e-07
1391.32519705815	3.24076e-07
1403.47650882285	3.77502e-07
1415.62782058755	4.07954e-07
1427.77913235225	3.37655e-07
1439.93044411695	3.52823e-07
1452.08175588165	2.93940e-07
1464.23306764635	3.58963e-07
1476.38437941105	3.43640e-07
1488.53569117575	3.00565e-07
1500.68700294045	3.54074e-07
1512.83831470515	3.02765e-07
1524.98962646985	2.97918e-07
1537.14093823455	2.95860e-07
1549.29224999925	2.96842e-07
1561.44356176395	3.17543e-07
1573.59487352865	3.92181e-07
1585.74618529335	2.94011e-07
1597.89749705805	3.49407e-07
1610.04880882275	2.69920e-07
1622.20012058745	2.75112e-07
1634.35143235215	3.86935e-07
1646.50274411685	2.76415e-07
1658.65405588155	2.79888e-07
1670.80536764625	2.84262e-07
1682.95667941095	2.64271e-07
1695.10799117565	2.73649e-07
1707.25930294035	2.85408e-07
1719.41061470505	2.81769e-07
1731.56192646975	3.25618e-07
1743.71323823445	2.23236e-07
1755.86454999915	2.91652e-07
1768.01586176385	2.10886e-07
1780.16717352855	2.42789e-07
1792.31848529325	2.39818e-07
1804.46979705795	3.12868e-07
1816.62110882265	2.85955e-07
1828.77242058735	2.61783e-07
1840.92373235205	2.62070e-07
1853.07504411675	2.43717e-07
1865.22635588145	2.22348e-07
1877.37766764615	2.51202e-07
1889.52897941085	2.49025e-07
1901.68029117555	1.82543e-07
1913.83160294025	2.41658e-07
1925.98291470495	1.88809e-07
1938.13422646965	2.20608e-07
1950.28553823435	1.99115e-07
1962.43684999905	2.42079e-07
1974.58816176375	1.66684e-07
1986.73947352845	1.52139e-07
1998.89078529315	1.40764e-07
2011.04209705785	1.04808e-07
2023.19340882255	9.34179e-08
2035.34472058725	1.43346e-07
2047.49603235195	9.05015e-08
2059.64734411665	6.34215e-08
2071.79865588135	4.04705e-08
2083.94996764605	1.99356e-08
2096.10127941075	9.70009e-09
2108.25259117545	5.17287e-09
