# BINNING-O: MIN=0 BINWIDTH=0.0098673797
# GP-LABEL-O: log( O / H ) + 12
# 1: O / dex	2: probability
6.70488450615	2.08319e-10
6.72461926555	1.18672e-09
6.73448664525	9.81324e-10
6.74435402495	8.16983e-10
6.75422140465	6.16058e-10
6.76408878435	7.95270e-09
6.77395616405	1.88842e-07
6.78382354375	8.80327e-07
6.79369092345	1.66483e-06
6.80355830315	2.69826e-06
6.81342568285	4.48605e-06
6.82329306255	6.58069e-06
6.83316044225	1.01190e-05
6.84302782195	1.20557e-05
6.85289520165	1.62736e-05
6.86276258135	2.22985e-05
6.87262996105	2.50231e-05
6.88249734075	2.78253e-05
6.89236472045	3.08646e-05
6.90223210015	3.58787e-05
6.91209947985	4.29733e-05
6.92196685955	5.05483e-05
6.93183423925	5.73739e-05
6.94170161895	6.64778e-05
6.95156899865	7.63273e-05
6.96143637835	8.68646e-05
6.97130375805	1.07109e-04
6.98117113775	1.36243e-04
6.99103851745	1.53907e-04
7.00090589715	2.01308e-04
7.01077327685	2.29518e-04
7.02064065655	2.28720e-04
7.03050803625	2.57983e-04
7.04037541595	2.58890e-04
7.05024279565	2.74211e-04
7.06011017535	2.91210e-04
7.06997755505	2.41797e-04
7.07984493475	2.19198e-04
7.08971231445	2.08298e-04
7.09957969415	2.13539e-04
7.10944707385	2.04381e-04
7.11931445355	2.04347e-04
7.12918183325	1.93087e-04
7.13904921295	1.86567e-04
7.14891659265	1.87295e-04
7.15878397235	1.84681e-04
7.16865135205	1.75411e-04
7.17851873175	1.65841e-04
7.18838611145	1.62605e-04
7.19825349115	1.61087e-04
7.20812087085	1.61904e-04
7.21798825055	1.51808e-04
7.22785563025	1.50610e-04
7.23772300995	1.48798e-04
7.24759038965	1.60918e-04
7.25745776935	1.40261e-04
7.26732514905	1.34997e-04
7.27719252875	1.55364e-04
7.28705990845	1.54181e-04
7.29692728815	1.60903e-04
7.30679466785	1.47227e-04
7.31666204755	1.54453e-04
7.32652942725	1.38991e-04
