# BINNING-N: MIN=0 BINWIDTH=0.0190224599
# GP-LABEL-N: log( N / H ) + 12
# 1: N / dex	2: probability
6.89564171375	2.46981e-01
6.91466417365	5.31767e-02
6.93368663355	2.56037e-02
6.95270909345	1.80644e-02
6.97173155335	1.46244e-02
6.99075401325	1.26386e-02
7.00977647315	1.14252e-02
7.02879893305	1.05658e-02
7.04782139295	9.84737e-03
7.06684385285	9.34024e-03
7.08586631275	8.91180e-03
7.10488877265	8.69077e-03
7.12391123255	8.32179e-03
7.14293369245	8.17873e-03
7.16195615235	7.94642e-03
7.18097861225	7.86929e-03
7.20000107215	7.82234e-03
7.21902353205	7.68005e-03
7.23804599195	7.67286e-03
7.25706845185	7.67679e-03
7.27609091175	7.67950e-03
7.29511337165	7.72232e-03
7.31413583155	7.71616e-03
7.33315829145	7.78568e-03
7.35218075135	7.87426e-03
7.37120321125	7.97674e-03
7.39022567115	8.06743e-03
7.40924813105	8.17121e-03
7.42827059095	8.36403e-03
7.44729305085	8.52868e-03
7.46631551075	8.75297e-03
7.48533797065	8.87420e-03
7.50436043055	9.12600e-03
7.52338289045	9.24590e-03
7.54240535035	9.54095e-03
7.56142781025	9.70336e-03
7.58045027015	9.87630e-03
7.59947273005	1.01441e-02
7.61849518995	1.03668e-02
7.63751764985	1.05323e-02
7.65654010975	1.06752e-02
7.67556256965	1.07322e-02
7.69458502955	1.06973e-02
7.71360748945	1.07539e-02
7.73262994935	1.05742e-02
7.75165240925	1.03183e-02
7.77067486915	1.00229e-02
7.78969732905	9.75885e-03
7.80871978895	9.53094e-03
7.82774224885	9.60779e-03
7.84676470875	9.53104e-03
7.86578716865	9.48667e-03
7.88480962855	9.61091e-03
7.90383208845	9.54340e-03
7.92285454835	9.75176e-03
7.94187700825	1.00205e-02
7.96089946815	1.04531e-02
7.97992192805	1.06770e-02
7.99894438795	1.06105e-02
8.01796684785	1.04051e-02
8.03698930775	1.02073e-02
8.05601176765	9.32448e-03
8.07503422755	8.90302e-03
8.09405668745	8.56295e-03
8.11307914735	8.13987e-03
8.13210160725	7.58194e-03
8.15112406715	7.68516e-03
8.17014652705	7.28154e-03
8.18916898695	7.44554e-03
8.20819144685	8.02904e-03
8.22721390675	7.79590e-03
8.24623636665	5.62809e-03
8.26525882655	3.50996e-03
8.28428128645	2.77040e-03
8.30330374635	2.57879e-03
8.32232620625	2.21463e-03
8.34134866615	1.84443e-03
8.36037112605	1.70996e-03
8.37939358595	1.30226e-03
8.39841604585	1.24450e-03
8.41743850575	1.26699e-03
8.43646096565	1.17569e-03
8.45548342555	1.13932e-03
8.47450588545	1.00965e-03
8.49352834535	9.04998e-04
8.51255080525	8.66832e-04
8.53157326515	8.23751e-04
8.55059572505	7.43393e-04
8.56961818495	6.85531e-04
8.58864064485	6.01398e-04
8.60766310475	5.44242e-04
8.62668556465	4.86892e-04
8.64570802455	4.37045e-04
8.66473048445	3.99444e-04
8.68375294435	3.48822e-04
8.70277540425	2.97360e-04
8.72179786415	2.72021e-04
8.74082032405	2.36708e-04
8.75984278395	2.16940e-04
8.77886524385	1.92244e-04
8.79788770375	1.84682e-04
8.81691016365	1.69447e-04
8.83593262355	1.47792e-04
8.85495508345	1.32999e-04
8.87397754335	1.16814e-04
8.89300000325	1.17483e-04
8.91202246315	1.08384e-04
8.93104492305	9.66987e-05
8.95006738295	8.90507e-05
8.96908984285	8.32154e-05
8.98811230275	7.96339e-05
9.00713476265	7.32228e-05
9.02615722255	6.52775e-05
9.04517968245	6.59528e-05
9.06420214235	6.32692e-05
9.08322460225	4.10777e-05
9.10224706215	1.14821e-05
9.12126952205	5.54998e-06
9.14029198195	5.04371e-06
9.15931444185	4.57508e-06
9.17833690175	4.33975e-06
9.19735936165	4.19299e-06
9.21638182155	4.04121e-06
9.23540428145	3.91311e-06
9.25442674135	3.48014e-06
9.27344920125	3.30388e-06
9.29247166115	2.94540e-06
9.31149412105	2.66915e-06
9.33051658095	2.47706e-06
9.34953904085	2.35796e-06
9.36856150075	2.31154e-06
9.38758396065	2.20497e-06
9.40660642055	2.14707e-06
9.42562888045	2.10286e-06
9.44465134035	1.99051e-06
9.46367380025	1.97939e-06
9.48269626015	1.87707e-06
9.50171872005	1.84073e-06
9.52074117995	1.77207e-06
9.53976363985	1.66262e-06
9.55878609975	1.60620e-06
9.57780855965	1.54167e-06
9.59683101955	1.43847e-06
9.61585347945	1.37035e-06
9.63487593935	1.30641e-06
9.65389839925	1.26767e-06
9.67292085915	1.19396e-06
9.69194331905	1.14590e-06
9.71096577895	1.10271e-06
9.72998823885	1.05588e-06
9.74901069875	1.00417e-06
9.76803315865	9.54146e-07
9.78705561855	9.32954e-07
9.80607807845	8.79763e-07
9.82510053835	8.45361e-07
9.84412299825	8.17941e-07
9.86314545815	7.71728e-07
9.88216791805	7.58589e-07
9.90119037795	7.01560e-07
9.92021283785	6.77908e-07
9.93923529775	6.60468e-07
9.95825775765	6.16311e-07
9.97728021755	5.42591e-07
9.99630267745	4.73818e-07
10.01532513735	4.04959e-07
10.03434759725	3.47682e-07
10.05337005715	2.99750e-07
10.07239251705	2.54679e-07
10.09141497695	2.22271e-07
10.11043743685	1.95580e-07
10.12945989675	1.75837e-07
10.14848235665	1.59877e-07
