# BINNING-LOGL: MIN=-10.0004438376 BINWIDTH=0.0236417112
# GP-LABEL-LOGL: log( L / L_{/CMSY10 \014})
# P(d<0): 86
# P(d>0): 14
# MEAN: -1.26
# SD: 1.18
# 1: dLOGL / log(Lsun)	2: probability
0.650147058	2.11629e-03
0.6737887692	2.05347e-03
0.6974304804	1.99191e-03
0.721072191600001	1.93162e-03
0.744713902800001	1.87260e-03
0.768355614000001	1.81484e-03
0.791997325200001	1.75834e-03
0.8156390364	1.70310e-03
0.8392807476	1.64910e-03
0.8629224588	1.59634e-03
0.88656417	1.54482e-03
0.9102058812	1.49452e-03
0.933847592400001	1.44544e-03
0.957489303600001	1.39755e-03
0.981131014800001	1.35086e-03
1.004772726	1.30535e-03
1.0284144372	1.26101e-03
1.0520561484	1.21782e-03
1.0756978596	1.17576e-03
1.0993395708	1.13483e-03
1.122981282	1.09501e-03
1.1466229932	1.05628e-03
1.1702647044	1.01863e-03
1.1939064156	9.82034e-04
1.2175481268	9.46481e-04
1.241189838	9.11952e-04
1.2648315492	8.78431e-04
1.2884732604	8.45898e-04
1.3121149716	8.14337e-04
1.3357566828	7.83728e-04
1.359398394	7.54053e-04
1.3830401052	7.25293e-04
1.4066818164	6.97430e-04
1.4303235276	6.70446e-04
1.4539652388	6.44320e-04
1.47760695	6.19035e-04
1.5012486612	5.94572e-04
1.5248903724	5.70912e-04
1.5485320836	5.48036e-04
1.5721737948	5.25925e-04
1.595815506	5.04562e-04
1.6194572172	4.83927e-04
1.6430989284	4.64003e-04
1.6667406396	4.44771e-04
1.6903823508	4.26214e-04
1.714024062	4.08313e-04
1.7376657732	3.91051e-04
1.7613074844	3.74411e-04
1.7849491956	3.58375e-04
1.8085909068	3.42927e-04
1.832232618	3.28050e-04
1.8558743292	3.13727e-04
1.8795160404	2.99943e-04
1.9031577516	2.86681e-04
1.9267994628	2.73925e-04
1.950441174	2.61661e-04
1.9740828852	2.49873e-04
1.9977245964	2.38546e-04
2.0213663076	2.27666e-04
2.0450080188	2.17218e-04
2.06864973	2.07189e-04
2.0922914412	1.97565e-04
2.1159331524	1.88333e-04
2.1395748636	1.79479e-04
2.1632165748	1.70990e-04
2.186858286	1.62855e-04
2.2104999972	1.55060e-04
2.2341417084	1.47595e-04
2.2577834196	1.40447e-04
2.2814251308	1.33606e-04
2.305066842	1.27059e-04
2.3287085532	1.20798e-04
2.3523502644	1.14810e-04
2.3759919756	1.09086e-04
2.3996336868	1.03616e-04
2.423275398	9.83907e-05
2.4469171092	9.34005e-05
2.4705588204	8.86365e-05
2.4942005316	8.40897e-05
2.5178422428	7.97519e-05
2.541483954	7.56146e-05
2.5651256652	7.16700e-05
2.5887673764	6.79102e-05
2.6124090876	6.43279e-05
2.6360507988	6.09156e-05
2.65969251	5.76665e-05
2.6833342212	5.45737e-05
2.7069759324	5.16307e-05
2.7306176436	4.88311e-05
2.7542593548	4.61689e-05
2.777901066	4.36381e-05
2.8015427772	4.12330e-05
2.8251844884	3.89481e-05
2.8488261996	3.67782e-05
2.8724679108	3.47181e-05
2.896109622	3.27629e-05
2.9197513332	3.09080e-05
2.9433930444	2.91487e-05
2.9670347556	2.74807e-05
2.9906764668	2.58998e-05
3.014318178	2.44019e-05
3.0379598892	2.29832e-05
3.0616016004	2.16400e-05
3.0852433116	2.03686e-05
3.1088850228	1.91656e-05
3.132526734	1.80277e-05
3.1561684452	1.69518e-05
3.1798101564	1.59349e-05
3.2034518676	1.49740e-05
3.2270935788	1.40664e-05
3.25073529	1.32094e-05
3.2743770012	1.24005e-05
3.2980187124	1.16372e-05
3.3216604236	1.09173e-05
3.3453021348	1.02385e-05
3.368943846	9.59867e-06
3.3925855572	8.99577e-06
3.4162272684	8.42789e-06
3.4398689796	7.89318e-06
3.4635106908	7.38987e-06
3.487152402	6.91630e-06
3.5107941132	6.47085e-06
3.5344358244	6.05201e-06
3.5580775356	5.65832e-06
3.5817192468	5.28842e-06
3.605360958	4.94099e-06
3.6290026692	4.61478e-06
3.6526443804	4.30860e-06
3.6762860916	4.02132e-06
3.6999278028	3.75189e-06
3.723569514	3.49927e-06
3.7472112252	3.26251e-06
3.7708529364	3.04069e-06
3.7944946476	2.83294e-06
3.8181363588	2.63844e-06
3.84177807	2.45642e-06
3.8654197812	2.28614e-06
3.8890614924	2.12689e-06
3.9127032036	1.97802e-06
3.9363449148	1.83890e-06
3.959986626	1.70894e-06
3.9836283372	1.58759e-06
4.0072700484	1.47432e-06
4.0309117596	1.36862e-06
4.0545534708	1.27003e-06
4.078195182	1.17811e-06
4.1018368932	1.09243e-06
4.1254786044	1.01261e-06
4.1491203156	9.38263e-07
4.1727620268	8.69051e-07
4.196403738	8.04639e-07
4.2200454492	7.44719e-07
4.2436871604	6.88998e-07
4.2673288716	6.37203e-07
4.2909705828	5.89075e-07
4.314612294	5.44373e-07
4.3382540052	5.02869e-07
4.3618957164	4.64348e-07
4.3855374276	4.28611e-07
4.4091791388	3.95468e-07
4.43282085	3.64745e-07
4.4564625612	3.36275e-07
4.4801042724	3.09903e-07
4.5037459836	2.85486e-07
4.5273876948	2.62886e-07
4.551029406	2.41979e-07
4.5746711172	2.22643e-07
4.5983128284	2.04770e-07
4.6219545396	1.88254e-07
4.6455962508	1.72999e-07
4.669237962	1.58914e-07
4.6928796732	1.45915e-07
4.7165213844	1.33923e-07
4.7401630956	1.22864e-07
4.7638048068	1.12671e-07
4.787446518	1.03279e-07
4.8110882292	9.46294e-08
4.8347299404	8.66670e-08
4.8583716516	7.93397e-08
4.8820133628	7.26006e-08
4.905655074	6.64042e-08
4.9292967852	6.07092e-08
4.9529384964	5.54778e-08
4.9765802076	5.06736e-08
5.0002219188	4.62643e-08
5.02386363	4.22190e-08
5.0475053412	3.85089e-08
5.0711470524	3.51085e-08
5.0947887636	3.19928e-08
5.1184304748	2.91397e-08
5.142072186	2.65278e-08
5.1657138972	2.41385e-08
5.1893556084	2.19537e-08
5.2129973196	1.99564e-08
5.2366390308	1.81319e-08
5.260280742	1.64655e-08
5.2839224532	1.49446e-08
5.3075641644	1.35569e-08
5.3312058756	1.22913e-08
5.3548475868	1.11379e-08
5.378489298	1.00872e-08
5.4021310092	9.13064e-09
5.4257727204	8.26002e-09
5.4494144316	7.46830e-09
5.4730561428	6.74863e-09
5.496697854	6.09454e-09
5.5203395652	5.50068e-09
5.5439812764	4.96150e-09
5.5676229876	4.47250e-09
5.5912646988	4.02903e-09
5.61490641	3.62706e-09
5.6385481212	3.26306e-09
5.6621898324	2.93350e-09
5.6858315436	2.63551e-09
5.7094732548	2.36614e-09
5.733114966	2.12290e-09
5.7567566772	1.90334e-09
5.7803983884	1.70527e-09
5.8040400996	1.52681e-09
5.8276818108	1.36600e-09
5.851323522	1.22135e-09
5.8749652332	1.09129e-09
5.8986069444	9.74378e-10
5.9222486556	8.69413e-10
5.9458903668	7.75103e-10
5.969532078	6.90469e-10
5.9931737892	6.14483e-10
6.0168155004	5.46413e-10
6.0404572116	4.85478e-10
6.0640989228	4.30856e-10
6.087740634	3.82034e-10
6.1113823452	3.38453e-10
6.1350240564	2.99609e-10
6.1586657676	2.64935e-10
6.1823074788	2.33994e-10
6.20594919	2.06418e-10
6.2295909012	1.81852e-10
6.2532326124	1.60033e-10
6.2768743236	1.40645e-10
6.3005160348	1.23463e-10
6.324157746	1.08232e-10
