Name;RAdeg;DEdeg;PosErr;Coord_Ref;ID_Flag;GLON;GLAT;Xray_Type;Porb;Ppulse;CRSF;Alt_Name;SpType;Gaia_DR3_ID;Gmag;e_Gmag;Vmag;e_Vmag;Jmag;e_Jmag;Hmag;e_Hmag;Kmag;e_Kmag;W1mag;e_W1mag;W2mag;e_W2mag;N_H;XMM_min_flux;XMM_max_flux;Chandra_min_flux;Chandra_max_flux;Chandra_Instrument;XRT_min_flux;XRT_max_flux;BAT_min_flux;BAT_max_flux;INTEGRAL_min_flux;INTEGRAL_max_flux;Mean_Mass;Low_Mass;High_Mass;Mean_Dist;Low_Dist;High_Dist;Teff;Lopt;IDS;CRSF_Ref;Spin_Ref;Orb_Ref;Spectral_Ref;Dist_Ref;Mass_Ref;Misc_Ref;Comments;_2MASS_ID;CatWISE_ID;ROSAT_ID;XMM_ID;Chandra_ID;XRT_ID;BAT_ID;INTEGRAL_ID
UCAC4 528-094936;28.782.843.213.014;1.554.241.523.241;5,23E+11;2023A&A...674A...1G;0.0;49.003.797.396.421.600;27.462.849.541.000.200;;;;;IGR J19113+1533;Be;4,51279E+18;134.966;0.0122;;;9.421;0.021;8.404;0.017;7.631;0.017;6.791.999.816.894.530;0.028999999165534973;5.519.999.980.926.510;0.01600000075995922;;;;;;;;;;;;;;;;12135.0;7913.0;18578.0;;;UCAC4 528-094936,IGR J19113+1533,IRAS 19090+1527,2MASS J19111882+1532327,TIC 396286778,WISEA J191118.82+153232.7,WISE J191118.83+153232.7,[IC56] 31,[KW97] 36-14,Gaia DR2 4512787627579740032,Gaia DR3 4512787627579740032;;;;2010A&A...519A..96M;;;;;19111882+1532327;J191118.85+153233.0;;;;;;
SS 433;28.795.650.636.991;498.270.852.726;2,60E+10;2023A&A...674A...1G;0.0;39.694.079.423.305.000;-2.244.595.785.048.790;BE,BH,EB,MQ,RS;13.1;;;4U 1908+05;A3-7 I;4,29341E+18;126.027;0.0158;13.0;;9.398;0.021;8.739;0.029;8.163;0.024;7.466.000.080.108.640;0.019999999552965164;6.848.999.977.111.810;0.012000000104308128;14.0;12.400.800.000.000.000;24.475.100.000.000.000;48.583.877.666.728;48.583.877.666.728;ACIS;152.700.005.418.005;152.700.005.418.005;141.89;141.89;;;4.2;3.8;4.6;6806.0;5539.0;8477.0;;;4U 1908+05,1A 1909+04,3A 1909+048,BWE 1909+0453,4C 04.66,2E  4204,2E 1909.3+0453,1ES 1909+04.8,F3R 1368,GAL 039.7-02.0,GB6 B1909+0453,87GB 190920.8+045332,GPS 1909+049,GRS G039.60 -01.80,1H 1908+047,HBHA  204-02,INTEGRAL1 110,INTREF   969,2MASS J19114957+0458578,NEK 40.1-02.1,NVSS J191149+045858,PBC J1911.8+0459,PLX 4470.01,RGB J1911+049,RX J1911.7+0459,1RXS J191149.7+045857,SBC9 1129,SS 433,SWIFT J1912.0+0500,SWIFT J1911.7+0500,TIC 181547773,TXS 1909+048,USNO 659,V* V1343 Aql,WEB 16429,2XMM J191149.5+045858,[BM83] X1909+048,[BSF97] J191149.56+045857.4,[DPS86] B1909+048,[KRL2007b] 358,[KW97] 36-17,AAVSO 1906+04,Gaia DR3 4293406612283985024,Gaia DR2 4293406612283985024;;;1981ApJ...251..604C;2004ApJ...615..422H;;2020A&A...640A..96P;;Superorbital period: 23.228 d (1997Ap&SS.252..439F);19114957+0458578;J191149.56+045857.9;2RXS J191149.7+045858;4XMM J191149.5+045857;J191149.5+045857;2SXPS J191149.4+045857;SWIFT J1912.0+0500;
IGR J19140+0951;28.851.760.590.601;988.286.437.365;0.0004535659819695476;2023A&A...674A...1G;0.0;4.429.635.327.297.500;-0.4687731951460312;SG;13.56;5937.0;;INTEGRAL1 111;B0.5Ia;4,30925E+18;182.481;0.0057;16.4;;8.549;0.05;7.671;0.158;7.06;0.204;;;;;;31.202.199.999.999.900;31.202.199.999.999.900;0.0;0.0;HRC;0.0;29.760.000.019.862.700;54.24;54.24;11.154.000.272.750.800;11.154.000.272.750.800;;;;5196.0;2339.0;8107.0;3190.9;;2MASS J19140422+0952577,IGR J19140+0951,INTEGRAL1 111,PBC J1914.0+0951,SWIFT J1914.0+0951,SWIFT J1914.0+0952,TIC 208281881,[KRL2007b] 359,Gaia DR2 4309253392325650176,Gaia DR3 4309253392325650176;;2016MNRAS.460.3637S;2016MNRAS.460.3637S;2010A&A...510A..61T,2016MNRAS.460.3637S;;;;;19140422+0952577;;;4XMM J191404.2+095258;J191404.2+095258;2SXPS J191403.7+095251;SWIFT J1914.0+0951;IGR J19140+0951
IGR J19149+1036;288.736.696;10.610.755;0.09219544392642574;2011ATel.3326....1B;1.0;4.504.109.295.866.920;-0.3214806894755028;;22.25;;31;2E 1912.5+1031;;;;;;;14.344;0.033;12.413;0.027;11.533;0.023;1.082.800.006.866.450;0.013000000268220901;10.843.999.862.670.800;0.008999999612569809;;;;;;;1.733.000.028.203.420;1.733.000.028.203.420;;;;;;;;;;;;;1E 1912.5+1031,2E  4214,2E 1912.5+1031,IGR J19149+1036,1SXPS J191456.7+103638;2015MNRAS.446.1041C;;2015MNRAS.446.1041C;;;;;;19145680+1036387;J191456.79+103638.4;;;;2SXPS J191456.7+103638;;
IGR J19294+1816;29.248.292.610.722;1.831.060.597.633;0.001022349964542475;2023A&A...674A...1G;0.0;5.354.008.043.402.050;0.1150212793149119;BE,CL,XP,XT;116.2;12.44;(36)43;2MASS J19295591+1818382;B1Ve;4,32332E+18;203.141;0.0072;;;14.556;0.032;12.989;0.026;12.115;0.023;;;;;;308.931;308.931;;;;4.431.000.011.351.210;4.431.000.011.351.210;;;;;;;;4002.0;1948.0;6355.0;;;2MASS J19295591+1818382,IGR J19294+1816,PBC J1929.9+1818,SSTGLMC G053.5401+00.1149,SWIFT J1929.8+1818,SWIFT J1929.8+1821,TIC 370157152,Gaia DR2 4323316622779495680,Gaia DR3 4323316622779495680;2019A&A...622A..61S;2009A&A...508..889R,2009ATel.2008....1C,2017ApJ...848..124R,2019A&A...621A.134T,2020ApJ...896...90M;2009A&A...508..889R,2009ATel.2008....1C,2011A&A...531A..65B,2019A&A...621A.134T,2020ApJ...896...90M;2018MNRAS.476.2110R,2019A&A...621A.134T,2020ApJ...896...90M;;;;;19295591+1818382;;;4XMM J192955.9+181837;;2SXPS J192955.8+181838;;
1H 1936+541;29.321.791.666.666.600;5.387.916.666.666.660;;2006A&A...455.1165L;2.0;8.584.988.140.600.340;15.902.400.802.425.300;BE;;;;INTREF 983;Be;;;;;;10.231;0.021;10.166;0.017;9.975;0.016;9.819.999.694.824.210;0.012000000104308128;9.529.000.282.287.590;0.00800000037997961;;;;;;;;;;;;;;;;;;;;;1H 1936+541,INTREF   983;;;;2009ApJ...707..870B;;;;;19325230+5352454;J193252.29+535245.4;;;;;;
1RXS J194211.9+255552;29.554.652.236.458;2.593.489.035.046;5,75E+10;2023A&A...674A...1G;0.0;6.158.011.171.839.210;13.548.846.678.851.900;;166.5;;;2MASS J19421116+2556056;;2,02179E+18;170.545;0.004;;;13.479;;12.834;;12.793;0.044;11.706.999.778.747.500;0.014999999664723873;11.446.999.549.865.700;0.008999999612569809;24.56;;;;;;9.673.999.795.678.510;9.673.999.795.678.510;;;;;;;;6361.0;1343.0;12953.0;7496.7;35.189.998.626.708.900;2MASS J19421116+2556056,1RXS J194211.9+255552,TIC 216753934,USNO-B1.0 1159-00412038,WISEA J194211.18+255605.3,WISE J194211.17+255605.2,Gaia DR3 2021785421455305344,Gaia DR2 2021785421455305344;;;2015MNRAS.451.2835D;;;;;;19421116+2556056;J194211.17+255605.2;;;;2SXPS J194211.1+255604;;
XTE J1946+274;29.641.397.487.956;2.736.539.915.248;2,80E+11;2023A&A...674A...1G;0.0;6.320.714.967.202.190;1.395.564.893.081.700;BE,CL,XP,XT;169.2;15.8;36;GRO J1944+26;B01-IVVe;2,02809E+18;156.886;0.003;16.92;;12.539;0.036;11.831;0.035;11.333;0.024;10.767.999.649.047.800;0.014000000432133675;10.381.999.969.482.400;0.009999999776482582;;;;0.59143868057034;0.59143868057034;ACIS;1.303.000.041.197.320;1.303.000.041.197.320;53.839.999.999.999.900;53.839.999.999.999.900;5.376.799.986.362.450;5.376.799.986.362.450;;;;11604.0;7340.0;16520.0;5280.8;;UCAC4 587-092451,3A 1942+274,GPS 1943+271,GRO J1944+26,INTREF   992,2MASS J19453935+2721555,SAX J1945.6+2721,SWIFT J1945.6+2722,TIC 451850608,WISEA J194539.37+272155.6,WISE J194539.35+272155.5,XTE J1946+274,XTE J1946+275,[VIN2002] A,Gaia DR2 2028089540103670144,Gaia DR3 2028089540103670144;2001ApJ...563L..35H,2015ApJ...815...44M;1998IAUC.7014....1S,2003ApJ...584..996W,2013ApJ...771...96M,2017PhDT.......225D;2013ApJ...771...96M,2017PhDT.......225D;2019A&A...622A..61S;;;;;19453935+2721555;J194539.35+272155.4;;;J194539.3+272155;2SXPS J194539.2+272151;SWIFT J1945.6+2722;XTE J1946+274
KS 1947+300;29.739.783.883.472;302.088.084.874;1,47E+11;2023A&A...674A...1G;0.0;6.609.897.148.740.340;20.835.852.104.133.300;BE,CL,HT,XP,XT;40.4;18.7;12;INTEGRAL1 115;B0Ve;2,03194E+18;13.834;0.003;14.22;;11.831;0.021;11.434;0.024;11.054;0.02;10.942.999.839.782.700;0.013000000268220901;10.699.000.358.581.500;0.008999999612569809;14.58;0.07384610000000001;1260.74;19.126.199.349.923;19.126.199.349.923;ACIS;6.641.000.249.718.580;6.641.000.249.718.580;;;48.763.001.227.378.800;48.763.001.227.378.800;;;;12164.0;7584.0;18276.0;33413.8;;2MASS J19493548+3012317,INTEGRAL1 115,KS 1947+300,PBC J1949.5+3011,SWIFT J1949.5+3012,TIC 82968190,[KRL2007b] 367,Gaia DR2 2031939548802102656,Gaia DR3 2031939548802102656;2014ApJ...784L..40F,2016RAA....16...77E;1995ApJ...446..826C,2004ApJ...613.1164G,2005AstL...31...88T,2006ApJ...647.1293N,2016A&A...591A..65B;2005AstL...31...88T,2006ApJ...647.1293N,2016A&A...591A..65B;2003A&A...397..739N,2005AstL...31...88T,2016A&A...591A..65B;;;;;19493548+3012317;J194935.48+301231.7;;4XMM J194935.5+301226;J194935.4+301231;2SXPS J194935.5+301230;;KS 1947+300
AX J1949.8+2534;29.748.094.936.995;2.556.659.484.642;2,31E+10;2017MNRAS.469.3901S;0.0;6.213.627.314.089.950;-0.33685823347736527;SG,XT;;;;IGR J19498+2534;early BIa;2,02691E+18;139.632;0.0028;;;9.9;0.022;9.071;0.016;8.637;0.018;8.218.000.411.987.300;0.009999999776482582;816.100.025.177.002;0.00800000037997961;15.8;0.9322180000000001;0.9322180000000001;;;;0.8278000138660369;0.8278000138660369;;;;;;;;5801.0;4762.0;7117.0;;;AX J1949.8+2534,IGR J19498+2534,4PBC J1950.0+2532;;;;2017MNRAS.469.3901S,2019ApJ...878...15H;;;2001ApJS..134...77S;;19495543+2533599;J194955.42+253359.8;;4XMM J194955.4+253359;;2SXPS J194955.3+253359;;
4U 1954+31;29.892.639.832.143;3.209.693.031.874;2,67E+11;2023A&A...674A...1G;0.0;6.839.194.666.420.460;1.926.893.178.058.310;SG;12.966.375;19400.0;;4U 1954+319;M4 I;2,03403E+18;83.583;0.003;9.97;0.029999999329447746;4.905;0.039;3.88;0.234;3.505;0.358;;;;;;;;0.18342285715899;0.18342285715899;HRC;15.810.000.530.969.100;15.810.000.530.969.100;271.2;271.2;;;;;;3256.0;2544.0;3693.0;3558.0;;DO 18341,3A 1954+319,GPS 1954+319,GSC 02673-02004,1H 1958+325,H 1954+319,INTREF   997,IRAS 19537+3157,1M 1953+319,2MASS J19554232+3205492,PBC J1955.6+3205,1RXS J195541.5+320546,SWIFT J1955.8+3203,SWIFT J1955.6+3205,TIC 87456211,TYC 2673-2004-1,2U 1954+31,3U 1953+31,4U 1954+31,4U 1954+319,USNO-A2.0 1200-13816030,WISEA J195542.33+320548.8,[KRL2007b] 369,Gaia DR3 2034031438383765760,Gaia DR1 2034031434045616768,Gaia DR2 2034031438383765760;;2014ApJ...786..127E;2020ApJ...904..143H;2020ApJ...904..143H;;;;;19554232+3205492;;2RXS J195541.5+320547;;J195542.3+320549;2SXPS J195542.2+320547;SWIFT J1955.8+3203;
Cyg X-1;29.959.029.482.904;3.520.157.876.511;1,70E+10;2023A&A...674A...1G;0.0;7.133.496.545.364.090;30.668.344.818.067.300;BH,MQ,RS,SG,US;5.0;;;HD 226868;O9.7Iabpvar;2,05938E+18;85.366;0.0029;8.91;;6.872;0.023;6.652;0.018;6.501;0.02;7.053.999.900.817.870;0.032999999821186066;6.570.000.171.661.370;0.017000000923871994;0.427;;;;;;993.600.011.156.559;993.600.011.156.559;17234.2;17234.2;;;21.2;19.0;23.4;2103.0;1985.0;2240.0;20879.5;;HD 226868,3A 1956+350,AG+35 1910,ALS 10678,BD+34  3815,CGO 548,2E  4306,2E 1956.4+3503,1FGL J1958.9+3459,GCRV 12319,GEN# +1.00226868,GOS G071.34+03.07 01,GSC 02678-00791,1H 1956+350,H 1956+350,H 1957+35,HIC  98298,Hilt  849,HIP  98298,INTEGRAL1 116,INTREF  1001,LS  II +35    8,1M 1956+350,2MASS J19582166+3512057,MCW  770,PBC J1958.3+3512,PPM  83929,1RXS J195821.9+351156,SAO  69181,SBC7   776,SBC9 1193,SV* SVS  1808,SWIFT J1958.4+3510,SWIFT J1958.3+3512,TIC 102604645,TYC 2678-791-1,2U 1956+35,3U 1956+35,4U 1956+35,UBV   17047,UBV M  27507,uvby98 100226868,V* V1357 Cyg,WEB 17338,1XRS 19564+350,X Cyg X-1,[AAA2018] FGL J1958.6+3510,[BM83] X1956+350,[KRL2007b] 370,[MJD95] J195821.72+351205.9,AAVSO 1954+34,Gaia DR3 2059383668236814720,Gaia DR2 2059383668236814720;;;1982ApJ...260..240G;2011ApJS..193...24S;;2022ApJ...934....4K;;;19582166+3512057;J195821.71+351205.1;2RXS J195822.2+351201;;;2SXPS J195821.8+351201;SWIFT J1958.4+3510;
2MASS J20002185+3211232;30.009.104.899.634;3.218.973.933.161;2,26E+11;2023A&A...674A...1G;0.0;689.860.336.731.507;11.341.893.135.642.100;BE;;890.0;;IGR J20006+3210;early BV or mid BIII;2,03399E+18;150.646;0.0031;13.2;0.09000000357627869;11.953;0.021;11.29;0.019;10.847;0.018;10.201.000.213.623.000;0.009999999776482582;10.029.999.732.971.100;0.00800000037997961;;;;;;;4.197.000.039.174.440;4.197.000.039.174.440;44.75;44.75;;;;;;8412.0;7157.0;10124.0;;;2MASS J20002185+3211232,IGR J20006+3210,PBC J2000.3+3211,SWIFT J2000.6+3210,SWIFT J2000.3+3211,TIC 103737977,USNO-A2.0 1200-14131541,[KRL2007b] 372,Gaia DR2 2033989790047905024,Gaia DR3 2033989790047905024;;2013MNRAS.436..945P;;2008A&A...482..113M,2013MNRAS.436..945P;;;;Alternative pulsation period: 1056 s (2009ApJ...699..892M);20002185+3211232;J200021.85+321123.0;;;;2SXPS J200021.9+321122;SWIFT J2000.6+3210;
IGR J20155+3827;30.386.682.106.719;3.842.386.741.496;2,06E+10;2023A&A...674A...1G;1.0;7.589.675.373.839.650;19.156.169.751.943.000;;;;;None;;2,06094E+18;135.464;0.0029;;;9.681;0.02;8.857;0.018;8.391;0.016;8.130.999.565.124.510;0.013000000268220901;7.940.000.057.220.450;0.008999999612569809;;0.240575;0.240575;;;;;;;;;;;;;7088.0;6333.0;8336.0;7014.09;;IGR J20155+3827;;;;;;;;;20152803+3825260;J201528.03+382526.0;;4XMM J201528.0+382526;;;;
W63 X-1;30.474.999.999.999.900;45.7;;2006A&A...455.1165L;2.0;8.231.659.506.482.380;5.428.153.223.457.190;XP;;36.0;;None;Be?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NAME W63 X-1;;2004HEAD....8.1730R;;2009ApJ...707..870B;;;;;;;;;;;;
SAO 49725;30.762.850.374.937;4.786.406.792.934;2,07E+11;2023A&A...674A...1G;0.0;8.523.069.664.793.670;5.047.489.282.883.490;BE,Gcas;;;;RX J2030.5+4751;B0.5III-Ve;2,08364E+18;90.253;0.0028;9.273;0.01899999938905239;8.058;0.026;7.854;0.023;7.624;0.027;7.166.999.816.894.530;0.014000000432133675;6.833.000.183.105.460;0.00800000037997961;;109.898;109.898;;;;;;;;;;;;;2180.0;1714.0;3742.0;34910.4;;BD+47  3129,AG+47 1600,ALS 11396,EM* MWC 1023,GEN# +0.04703129,GEN# +8.03470005,GSC 03577-01173,INTREF  1026,LS III +47    5,2MASS J20303085+4751506,PMC 90-93  4776,PPM  60049,RX J2030.5+4751,1RXS J203032.8+475200,SAO  49725,TIC 187940144,TYC 3577-1173-1,UBV M  50944,UCAC4 690-081315,uvby98 004703129,WISEA J203030.84+475150.6,WISE J203030.84+475150.7,[KW97] 47-20,[NM51] 17,Gaia DR2 2083644392294059520,Gaia DR3 2083644392294059520,Gaia DR1 2083644387990057472;;;;2006A&A...454..265L;;;;;20303085+4751506;J203030.85+475150.6;;4XMM J203030.7+475150;;;;
PSR J2032+4127;30.805.466.935.591;4.145.675.875.004;1,88E+11;2023A&A...674A...1G;0.0;8.022.382.078.922.110;10.278.998.494.162.900;GP;;;;3EG J2033+4118;B0:e/B0:Vn;2,06784E+18;112.772;0.01;11.266;;9.521;0.022;9.248;0.018;9.071;0.016;8.479.999.542.236.320;0.01600000075995922;8.236.000.061.035.150;0.008999999612569809;10.0;0.130469;434.582;0.06448021529961301;0.06448021529961301;ACIS;2.100.999.929.588.450;2.100.999.929.588.450;;;;;;;;1679.0;1585.0;1779.0;21445.04;;2MASS J20321312+4127243,2AGL J2032+4135,AGL J2032+4102,ALS 15112,2EG J2033+4112,3EG J2033+4118,EGR J2033+4117,0FGL J2032.2+4122,1FGL J2032.2+4127,2FGL J2032.2+4126,3FGL J2032.2+4126,4FGL J2032.2+4127,1FHL J2032.1+4125,3FHL J2032.2+4127,GRO J2032+40,INTREF  1031,MAGIC J2032+4127,NAME Cyg OB2 4 B,PSR J2032+4127,PSR J2032+4102,TeV J2031+4130,TIC 17035611,VER J2032+414,[BDB2006] 129,[MT91] 213,[PMI2007] 5,Gaia DR3 2067835682818358400,Gaia DR2 2067835682818358400;;;;2013ATel.5571....1S;;;;;20321312+4127243;J203213.12+412724.3;;4XMM J203213.1+412724;J203213.1+412724;2SXPS J203213.1+412723;;
EXO 2030+375;30.806.362.685.512;3.763.743.239.547;9,77E+10;2023A&A...674A...1G;0.0;7.715.184.629.292.860;-12.418.008.419.880.200;BE,CL,XP,XT;46.02;41.31;11;INTEGRAL1 117;B0Ve;2,06379E+18;168.914;0.0034;19.41;;12.05;0.02;10.835;0.018;10.074;0.016;937.399.959.564.209;0.012000000104308128;9.008.999.824.523.920;0.00800000037997961;;260.068;260.068;;;;1.868.999.954.801.600;1.868.999.954.801.600;784.45;784.45;7.111.389.934.539.790;7.111.389.934.539.790;;;;2077.0;1524.0;2909.0;5190.3;4.106.000.061.035.150;2MASS J20321527+3738148,EXO 2030+375,INTEGRAL1 117,INTREF  1028,INTREF  1029,PBC J2032.2+3738,1RXS J203215.8+373817,SWIFT J2032.2+3738,TIC 16948107,V* V2246 Cyg,[KRL2007b] 375,Gaia DR2 2063791369815322752,Gaia DR3 2063791369815322752;2008ApJ...678.1263W;1989ApJ...338..359P,1989PASJ...41....1N,1999ApJ...512..313S,2021JApA...42...33J;1989ApJ...338..359P,1989PASJ...41....1N,1999ApJ...512..313S;1998MNRAS.301...42R;;;;;20321527+3738148;J203215.26+373814.8;2RXS J203215.6+373816;4XMM J203215.2+373815;;2SXPS J203215.3+373814;SWIFT J2032.2+3738;EXO 2030+375
Cyg X-3;308.107.422;40.957.756;0.08485281184577752;2003yCat.2246....0C;0.0;7.984.549.551.602.170;0.7000557878030697;BH,MQ,RS;0.2;;;WR 145a;WN 4-6;;;;;;15.309;0.059;13.192;0.057;11.921;0.031;10.746.999.740.600.500;0.017000000923871994;10.019.000.053.405.700;0.012000000104308128;;10.985.700.000.000.000;1294.73;0.0;0.0;HRC;10.069.999.945.017.100;10.069.999.945.017.100;2467.88;2467.88;;;7.2;;;7400.0;6300.0;8500.0;;;X Cyg X-3,3A 2030+407,2AGL J2033+4100,2E  4376,2E 2030.5+4047,ECX6-23,1ES 2030+40.7,1FGL J2032.4+4057,2FGL J2032.1+4049,4FGL J2032.6+4053,GB6 B2030+4047,87GB 203037.0+404726,GPS 2030+407,GPSR 079.846+0.700,GT 2030+407,1H 2030+407,H 2030+407,INTEGRAL1 118,1M 2030+407,2MASS J20322578+4057279,18P  57,19P 17,PBC J2032.4+4057,RGB J2032+409,RX J2032.3+4057,1RXS J203226.2+405725,SWIFT J2032.5+4055,SWIFT J2032.4+4057,TIC 17032547,2U 2030+40,3U 2030+40,4U 2030+40,V* V1521 Cyg,WR 145a,1XRS 20305+407,[AAA2018] FGL J2032.1+4058,[BM83] X2030+407,[BSF97] J203225.77+405728.0,[FS2003] 1076,[KRL2007b] 376,[WBC2013] J203225.6+405726;;;1972NPhS..239..123P;2017MNRAS.472.2181K;2016ApJ...830L..36M;2022ApJ...926..123A;;;20322578+4057279;J203225.77+405727.9;2RXS J203226.1+405723;4XMM J203225.7+405730;J203225.7+405728;2SXPS J203225.7+405727;SWIFT J2032.5+4055;
SRGE J204319.0+443820;31.082.775.703.774;446.388.912.772;7,45E+10;2020ATel14232....1Y,2020ATel14234....1D;0.0;8.398.371.573.804.200;13.407.240.600.915.200;;;741.8;;SRGA J204318.2+443815;B0-2e;2,07009E+18;165.636;0.0041;;;12.727;0.023;11.904;0.021;11.481;0.018;10.244.000.434.875.400;0.014999999664723873;9.951.000.213.623.040;0.009999999776482582;;220.968;220.968;;;;;;;;;;;;;5871.0;1857.0;10796.0;7543.1;;PGIR 20fah,SRGA J204318.2+443815,SRGE J204319.0+443820,ZTF18abjpmzf;;2022A&A...661A..28L;;2022A&A...661A..28L;;;;;20431866+4438201;J204318.66+443820.0;;4XMM J204318.6+443820;;;;
GRO J2058+42;31.469.805.829.882;4.177.697.968.527;1,69E+11;2023A&A...674A...1G;0.0;8.356.988.318.719.240;-26.554.918.031.300.600;BE,CL,XP,XT;55.03;195.25;10(3);CXOU J205847.5+414637;O9.5-B0IV-Ve;2,06565E+18;141.309;0.0053;14.74;0.009999999776482582;11.74;0.022;11.282;0.018;10.93;0.017;10.704.999.923.706.000;0.009999999776482582;10.647.000.312.805.100;0.00800000037997961;;;;;;;16.789.999.945.920.800;16.789.999.945.920.800;;;;;;;;7458.0;4097.0;9927.0;31462.3;;UCAC2  46319809,CXOU J205847.5+414637,GRO J2058+42,INTREF  1046,2MASS J20584753+4146372,1RXH J205847.5+414641,1RXH J205847.3+414638,1RXH J205847.5+414637,TIC 195853989,UCAC4 659-089801,USNO-B1.0 1317-00429823,USNO-A2.0 1275-14423435,WISEA J205847.53+414637.1,WISE J205847.52+414637.1,[WWF2005] 2,Gaia DR2 2065653598916388352,Gaia DR3 2065653598916388352;2019ApJ...883L..11M;1998ApJ...499..820W,2005ApJ...622.1024W,2020MNRAS.497.1059K;2005ApJ...622.1024W;2005ApJ...622.1024W,2014yCat....1.2023S;;;;;20584753+4146372;J205847.52+414637.0;;;;2SXPS J205847.2+414637;;
SAX J2103.5+4545;31.589.876.969.225;4.575.153.283.211;1,51E+11;2023A&A...674A...1G;0.0;8.713.025.786.104.980;-0.6848010358602833;BE,XP,XT;12.68;358.61;;ATO J315.8987+45.7515;B0Ve;2,16281E+18;137.744;0.0055;14.2;;11.842;0.021;11.535;0.021;11.362;0.023;10.715.999.603.271.400;0.013000000268220901;10.652.999.877.929.600;0.009999999776482582;28.0;;;0.22261576192503;0.22261576192503;ACIS;11.160.000.007.448.500;11.160.000.007.448.500;68.15;68.15;9.795.499.863.624.570;9.795.499.863.624.570;;;;5370.0;3571.0;6795.0;29372.9;;GSC 03588-00834,ATO J315.8987+45.7515,INTEGRAL1 119,INTREF  1049,2MASS J21033570+4545055,PBC J2103.6+4544,SAX J2103.5+4545,SWIFT J2103.7+4546,TIC 273066197,XTE J2103+457,[KRL2007b] 380,Gaia DR2 2162805896614571904,Gaia DR3 2162805896614571904;;1998A&A...337L..25H,2000ApJ...544L.129B;2000ApJ...544L.129B;2004A&A...421..673R;;;;;21033570+4545055;J210335.70+454505.5;;;J210335.6+454505;2SXPS J210335.6+454506;SWIFT J2103.7+4546;SAX J2103.5+4545
IGR J21343+4738;32.358.486.828.065;4.763.337.917.571;1,58E+11;2023A&A...674A...1G;0.0;921.716.136.773.052;-3.117.681.443.613.560;BE;;322.7;;2MASS J21342037+4738002;B1--1.5III--V;1,97837E+18;140.036;0.0047;14.16;;12.939;0.02;12.726;0.023;12.529;0.027;;;;;;4.680.470.000.000.000;4.680.470.000.000.000;;;;;;;;;;;;;7078.0;5146.0;9600.0;15074.9;;2MASS J21342037+4738002,IGR J21343+4738,TIC 240506181,USNO-B1.0 1376-00511904,Gaia DR2 1978365123143522176,Gaia DR3 1978365123143522176;;2014MNRAS.442..472R,2020ATel14291....1P;;2014A&A...561A.137R;;;;;21342037+4738002;;;4XMM J213420.3+473800;;;;
Cep X-4;32.487.785.209.105;5.698.621.852.916;1,65E+10;2023A&A...674A...1G;0.0;9.901.221.464.999.670;33.125.270.841.795.300;BE,CL,HT,XP,XT;20.85;65.35;30,28,45,30,55;Ginga 2138+56;B1-B2Ve;2,17818E+18;138.162;0.003;;;11.829;0.024;11.414;0.028;10.926;0.02;10.289.999.961.853.000;0.009999999776482582;10.001.999.855.041.500;0.007000000216066837;7.115;;;0.65948629393158;0.65948629393158;ACIS;47.010.001.447.134.100;47.010.001.447.134.100;;;;;;;;7348.0;6632.0;8023.0;;;X Cep X-4,3A 2129+571,Cl* Trumpler   37    KUN     193,Cl* Trumpler   37    MVA    1488,Cl* IC 1396    SBZ  2-75,Ginga 2137+57,Ginga 2138+56,1H 2138+579,HBHA 5704-07,2MASS J21393068+5659104,PBC J2139.3+5659,TIC 341320747,4U 2135+57,V* V490 Cep,[KW97] 58-53,[NSW2012] 340,AAVSO 2136+56,Gaia DR3 2178178409188167296,Gaia DR2 2178178409188167296;1991ApJ...379L..61M,2007A&A...470.1065M,2015ApJ...806L..24F,2015MNRAS.453L..21J,2016cosp...41E.887J,2017A&A...601A.126V;1991ApJ...366L..19K,2021ApJ...920..139M;2007A&A...470.1065M;2019A&A...622A..61S;;;;Possible range of orbital periods: 23 - 147.3 d (1999ApJ...511..367W);21393068+5659104;J213930.68+565910.3;;;J213930.6+565910;2SXPS J213930.6+565908;;
1H 2202+501;33.040.919.197.022;5.016.795.238.314;1,58E+10;2023A&A...674A...1G;0.0;9.724.777.573.005.020;-40.412.073.336.064;BE;;;;AG+49 1900;B3e;1,97991E+18;93.046;0.0028;9.31;0.019999999552965164;8.778;0.018;8.701;0.044;8.496;0.019;8.342.000.007.629.390;0.010999999940395355;8.090.999.603.271.480;0.00800000037997961;;;;;;;;;;;;;;;;1117.0;1099.0;1137.0;;;BD+49  3718,AG+49 1900,ALS 12093,EM* MWC  649,GSC 03613-00942,1H 2202+501,HIC 108738,HIP 108738,INTREF  1065,LS III +49   37,2MASS J22013820+5010046,PPM  40138,SAO  51568,TIC 324820890,TYC 3613-942-1,V* V2175 Cyg,[KW97] 61-4,Gaia DR2 1979911002134040960,Gaia DR3 1979911002134040960,Gaia DR1 1979910997824411776;;;;1942ApJ....96...15M;;;;;22013820+5010046;J220138.20+501004.6;;;;;;
