Name;RAdeg;DEdeg;PosErr;Coord_Ref;ID_Flag;GLON;GLAT;Xray_Type;Porb;Ppulse;CRSF;Alt_Name;SpType;Gaia_DR3_ID;Gmag;e_Gmag;Vmag;e_Vmag;Jmag;e_Jmag;Hmag;e_Hmag;Kmag;e_Kmag;W1mag;e_W1mag;W2mag;e_W2mag;N_H;XMM_min_flux;XMM_max_flux;Chandra_min_flux;Chandra_max_flux;Chandra_Instrument;XRT_min_flux;XRT_max_flux;BAT_min_flux;BAT_max_flux;INTEGRAL_min_flux;INTEGRAL_max_flux;Mean_Mass;Low_Mass;High_Mass;Mean_Dist;Low_Dist;High_Dist;Teff;Lopt;IDS;CRSF_Ref;Spin_Ref;Orb_Ref;Spectral_Ref;Dist_Ref;Mass_Ref;Misc_Ref;Comments;_2MASS_ID;CatWISE_ID;ROSAT_ID;XMM_ID;Chandra_ID;XRT_ID;BAT_ID;INTEGRAL_ID
IGR J18406-0539;28.019.535.689.613;-568.062.809.307;1,75E+10;2023A&A...674A...1G;1.0;26.663.571.732.174.200;-0.22749159507277383;BE;;;;SS 406;B5V;4,25347E+18;112.299;0.0032;10.8;;9.188;0.029;8.843;0.059;8.613;0.019;7.681.000.232.696.530;0.007000000216066837;77.170.000.076.293.900;0.007000000216066837;;;;;;;;;;;;;;;;3842.0;3613.0;4083.0;;;IGR J18406-0539,SS 406;;;;2006A&A...448..547M;;;2004AstL...30..534M;;18404689-0540502;J184046.87-054050.2;;;;;;
AX J1841.0-0536;28.025.180.474.101;-559.626.686.559;5,14E+11;2022A&A...665A..69F;0.0;26.764.291.181.206.300;-0.2388131380464052;SG,XP,XT;;;;IGR J18410-0535;B1Ib;4,2565E+18;129.652;0.0031;;;9.739;0.021;9.22;0.022;8.93;0.019;;;;;;0.0528815;232.895;24.949.502.792.412;24.949.502.792.412;ACIS;27.240.000.186.057.300;27.240.000.186.057.300;;;;;;;;13801.0;10895.0;17752.0;;;AX J1841.0-0535,AX J1841.0-0536,IGR J18410-0535,PBC J1841.0-0538,SWIFT J1840.9-0536,[KRL2007b] 332;;;;2008A&A...486..911N;;;2004ATel..340....1R;;18410043-0535465;;;4XMM J184100.4-053546;J184100.4-053547;2SXPS J184100.3-053545;;
1AGLR J1839-0550;28.042.499.999.999.900;-5.85;;2006A&A...455.1165L;2.0;26.617.545.217.439.300;-0.5081555415160115;XT;;;;Ginga 1839-06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1AGLR J1839-0550,Ginga 1839-06,INTREF   928,1RXS J184135.3-055032;;;;;;;;;;;;;;;;
Ginga 1839-04;28.044.999.999.999.900;-4.45;;2006A&A...455.1165L;2.0;27.873.834.058.385.600;0.1102234961509114;XP,XT;;81.1;;INTREF 929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ginga 1839-04,INTREF   929;;1990Natur.343..148K;;;;;;No detected optical Counterpart. HMXB candidate only because of detected pulsation;;;;;;;;
AX J1845.0-0433;28.125.661.916.606;-456.575.904.237;2,69E+11;2023A&A...674A...1G;1.0;281.383.843.672.658;-0.6579112065119224;SG,XT;5.72;;;AX 1845.0-0433;O9.5I;4,25816E+18;127.553;0.0029;14.06;;9.746;0.026;9.259;0.028;8.948;0.025;8.598.999.977.111.810;0.012000000104308128;864.799.976.348.877;0.008999999612569809;;273.522;426.244;34.897.169.965.094.000;34.897.169.965.094.000;ACIS;36.230.001.637.660.400;36.230.001.637.660.400;;;;;;;;5201.0;4424.0;6082.0;;;AX J1845.0-0433,AX 1845.0-0433,IGR J18450-0435,PBC J1844.9-0433,SWIFT J1844.9-0435,[KRL2007b] 335;;;2013MNRAS.434.2182G;1996MNRAS.281..333C,2007A&A...462..695S,2013MNRAS.434.2182G;;;1995PASJ...47..189Y,2013A&A...560A.108C;;18450159-0433565;J184501.58-043356.7;;4XMM J184501.5-043356;J184501.5-043356;2SXPS J184501.6-043355;;
Ginga 1843+009;2.814.034.733.687;0.86315946802;0.0002498912163322273;2023A&A...674A...1G;0.0;33.036.375.569.254.200;16.893.567.873.291.300;BE,XP,XT;;29.48;;ALS 19596;B0-2IV-Ve;4,27854E+18;186.068;0.0106;20.6;;13.79;0.035;12.82;0.035;12.179;0.037;12.218.000.411.987.300;0.013000000268220901;12.031.000.137.329.100;0.009999999776482582;;;;0.032080556398023;0.032080556398023;ACIS;1.911.000.024.890.080;1.911.000.024.890.080;;;;;;;;3460.0;385.0;9290.0;3682.6;;2MASS J18453684+0051474,ALS 19596,1BMW J184536.8+005148,Ginga 1843+009,Ginga 1843+00,INTEGRAL1 100,INTREF   933,PBC J1845.6+0051,SWIFT J1845.7+0052,SWIFT J1845.6+0051,TIC 171043342,[KKK90] 7,[KRL2007b] 336,Gaia DR2 4278536022438800640,Gaia DR3 4278536022438800640;;1990Natur.343..148K,1999NuPhS..69..220P;;2009ApJ...707..870B;;;;;18453684+0051474;J184536.84+005147.3;;;J184536.8+005147;2SXPS J184536.6+005146;;
Swift J1845.7-0037;281.477.598;-0.659499;0.1131370824610367;2003yCat.2246....0C;1.0;31.714.728.404.300.200;0.9289823986316751;;;207.38;;MAXI J1847-004;;;;;;;15.800.999.641.418.400;;1.458.899.974.822.990;0.06700000166893005;13.590.999.603.271.400;0.05900000035762787;13.241.999.626.159.600;0.02500000037252903;12.744.999.885.559.000;0.01600000075995922;;;;;;;26.940.000.577.568.800;26.940.000.577.568.800;;;;;;;;;;;;;2MASS J18455462-0039341,MAXI J1847-004,SWIFT J1845.7-0037,TIC 225809789,XMMSL1 J184555.4-003941;;2020A&A...634A..89D;;;;;;;18455462-0039341;J184554.62-003933.3;;;;2SXPS J184554.6-003935;;
IGR J18462-0223;28.155.330.103.238;-237.390.974.488;0.00013493494728942536;2023A&A...674A...1G;0.0;30.223.734.617.689.500;0.07922885518237607;SG,XT;;997.0;;2MASS J18461279-0222261;;4,25909E+18;176.509;0.0031;;;14.483;0.05;13.754;0.073;12.706;;;;;;;0.217787;12.282.399.999.999.900;;;;12.519.999.793.847.400;12.519.999.793.847.400;;;;;;;;1256.0;513.0;2048.0;5572.8;15.880.000.591.278.000;2MASS J18461279-0222261,IGR J18462-0223,TIC 225868207,USNO-B1.0 0876-00579765,Gaia DR3 4259088994635370752;;2013A&A...556A..27S;;;;;2007ATel.1319....1G;Possible orbital period: 2.13 d [90% significance level] (2013A&A...556A..27S);18461279-0222261;;;4XMM J184612.7-022228;;2SXPS J184612.8-022228;;
IGR J18482+0049;282.064.171;0.792571;0.16970562369155504;2012ApJ...753....3B;1.0;33.274.742.493.172.300;10.691.732.717.261.200;;;;;None;;;;;;;15.842;;14.028;;13.936;0.102;12.119.999.885.559.000;0.012000000104308128;11.020.000.457.763.600;0.008999999612569809;;13.707.200.000.000.000;13.707.200.000.000.000;;;;0.6361000051344212;0.6361000051344212;;;;;;;;;;;;;IGR J18482+0049;;;;;;;;;18481540+0047332;J184815.39+004733.3;;4XMM J184815.3+004733;;2SXPS J184815.2+004733;;
2S 1845-024;28.206.999.999.999.900;-24.236.388.888.888.800;;2022A&A...657A..58N;1.0;3.041.503.145.801.020;-0.4028387032686458;XP,XT;241.0;94.72;;1A 1845-02;OB;;;;;;;;;;;;13.418.999.671.936.000;0.03099999949336052;12.154.999.732.971.100;0.017999999225139618;;12.239.200.000.000.000;157.342;0.31590728445233;0.31590728445233;ACIS;11.940.000.377.297.300;11.940.000.377.297.300;;;;;;;;;;;;;4U 1850-03,1A 1845-02,3A 1845-024,Ginga 1843-02,Ginga 1843-024,Ginga 1844-024,Ginga 1845-024,1H 1845-024,INTREF   937,NAME OKM2018 SWIFT J1848.2-0244,2S 1845-024,SAXWFC J1848.2-0225.9,[BM83] X1845-024,[KKK90] 5;;1990Natur.343..148K,2022A&A...657A..58N;1996A&AS..120C.227Z;2022A&A...657A..58N;;;;;;J184816.82-022524.6;;4XMM J184816.8-022524;J184816.8-022525;2SXPS J184816.9-022525;;
